#,Date of incident,Area,Department,Equipment,Description of Breakdown/Case,Effected time (Minute),Impact on production,Action taken, RCA Status,Date of RCA,Link,Root Cause,CAPA,Responsible,Due date,Status of CAPA,Actual date,Remark,Remark of RCA team,RCA team required,Date of intimation
162,8-Sep-25,PGP,Mechanical,PGP-3(ASH SKIRT),ASH SKIRT FOUND LEAKAGE ,"2,190",No,new patching ms plate fitting and welding,Done,,DONE,,,,,,,,,,
163,9-Sep-25,BNFC,Mechanical,DD Screen-1,Blind mesh lock pin,75,Stop,lock pin change,Done,,dds-1.pdf,Proper Tensioning was not done on blind panels,New locking pin were fitted ,,13-Sep-25,Done,11-Sep-25,,,,
164,9-Sep-25,BNFC,Mechanical,Filter Press-4 ,Hydraulic motor tripping issue and over heating issue. So pump replacement work,135,Speed loss,radial pump change,Done,,fp-4.pdf,"Pump was jam ,which caused overload to motor",Pump was replaced by a new spare one,,13-Sep-25,Done,11-Sep-25,,,,
165,9-Sep-25,PGP,Mechanical,"PGP(10,11)ASH CONVEYOR-2",CONVEYOR BELT DAMAGED,300,No,new belt replacing work,Done,,DONE,,,,,,,,,,
166,11-Sep-25,Pellet-2,E & I,Multicore,"The instrument pressure tube was highly blocked by moisture, so the sov was damaged.",225,Speed loss,Currently auto drain valve was installed at entrance of instrument panel to drain out moisture.,Done,,RCA Link,"Moisture entered the pressure tube, blocking airflow.
The instrument air was Having High Moisture.",Currently Auto drain Valve Was installed at Entrance of Instrument Panel to Drain Out Moisture.,,,Done,,,,,
167,11-Sep-25,Pellet-1,Process,RF-3 Conveyor,Pull Cord Activation,5,Stop,"The pull cord was released, and the plant was made operational",Done,,RCA of RF-3 Conveyor’s Pull Cord Activation.pptx,"Heavy moisture in the raw material causes lump formation, which stuck to the pull cord.","Providing protection for the pull cord rope so that stones cannot hit it.
",,,Done,,,,,
168,14-Sep-25,BNFC,Mechanical,IOC-2,"Belt cut from center approx 18mtr due to rod, angle stuck in magnetic separtor",345,Speed loss,,Done,,IOC-2.pdf,,pProper checking of material jam in magnatic seperator to be checked and cleared daily,,17-Sep-25,Done,18-Sep-25,,,,
169,16-Sep-25,BNFC,Mechanical,RM-4C,Belt tear out,375,No,,Done,,RM-4C.pdf,,"18 mtr belt shortpiece replaced in the damage anrea 
reduce the hole of  grizzly",,19-Sep-25,Done,21-Sep-25,,,,
170,17-Sep-25,BNFC,Mechanical,SBM feed pump,Discharge line short piece heavy leakage,74,Speed loss,,Done,,SEC CYCLONE FEED PUMP.pdf,,"damaged short piece changed
during pm thickness of short piece must be checked ",,19-Sep-25,Done,21-Sep-25,,,,
171,17-Sep-25,BNFC,Process,Vibro Feeder,Circuit-1 ground hopper discharge chute jammed,80,Speed loss,Increasing the vibro feeder cleaning per shift,Done,,Vibrofeeder jam.pdf,Only moisture material is present in Iron Yard,Increasing the vibro feeder cleaning per shift,,17-Sep-25,Done,19-Sep-25,,     ,,
172,20-Sep-25,BNFC,Mechanical,Derrick-2,"Feed valve damage, flushing line valve damage",55,Stop,,Done,,DERRICK-2 FEED VALVE & FLUSHING VALVE DAMAGE.pdf,,"feed valve and flushing valve changed
proper inspection required during the pm",,22-Sep-25,Done,25-Sep-25,,,,
173,20-Sep-25,BNFC,Process,PBM,Stone stucked in PBM feed chute due to this raw material heap in feed chute,50,Speed loss,We can decrease the feed rate from 150 to 170 mt per hour,Done,,PBM feed chute jamm.pdf,feed material contains (-6 mm) size particle is 100%,We can add stand by feed pump,,21-Sep-25,Done,21-Sep-25,,,,
174,20-Sep-25,PGP,Mechanical,VIBRATING SCREEN,SCREEN CLOTH OF LOWER DECK DAMAGED,660,No,new screen cloth repalcing work,Not required,,,,,,,,,,,,
175,22-Sep-25,BNFC,E & I,Grinding MCC,breaker trip,140,Speed loss,ACB ETU unit replaced,Done,,RCA Link,,ETU testing scheduled for every 6 months or Long shutdown ,,28-Aug-25,Done,26-Aug-25,,,,
176,23-Sep-25,BNFC,Process,HT ball mill sump box,Derrick 1 & 3 feed line jam and flow not coming at ground level,95,Speed loss,Hgms work is completed,Done,,Derrick 1 & 3 feed line jamm.pdf,The chute jamm because the mill was running on inlet,Hgms maintenance work ,,20-Sep-25,Done,3-Sep-25,,,,
177,24-Sep-25,Pellet-2,Mechanical,PS-4,Discharge Chute modification,150,No,Modification Done,Not required,,,,,,,,,,,,
178,24-Sep-25,PGP,Mechanical,CBC-2,GEARBOX SHAFT HAS BROKEN,321,No,new shaft changing work,Done,,DONE,,,,,,,,,Yes,14-Feb-26
179,26-Sep-25,BNFC,Mechanical,IOC-3,Belt overload due to fluid coupling bush damage,189,No,"Fusible safety plug changed ,hydraulic oil top-up done",Done,,RCA IOC-3 (26-09-25).pdf,Overloading of belt,"gathered material on the belt was cleared, the fusible safety plug was replaced and the fulid coupling was refilled with 10 Ltr of VG  68 oil",,28-Sep-25,Done,30-Sep-25,,,,
180,27-Sep-25,BNFC,Mechanical,RM-4C,Belt joint remove,170,Speed loss,Belt rejointed (patching done),Done,,RCA RM-4C (27-09-25).pdf,Belt condition was poor,"belt joint re-joint work
proper time should be given for curing after joining the belt",,30-Sep-25,Done,30-Sep-25,,,,
181,30-Sep-25,BNFC,Mechanical,Derrick-3,Feed line short piece heavy leakage,60,Speed loss,Short piece changed,Done,,RCA STACK SIZER-3 (30-09-25).pdf,Reduced wall thickness of pipe,"damage short piece wa replaced
pipe thickness should be measured during the pm",,4-Oct-25,Done,4-Oct-25,,,,
182,1-Oct-25,BNFC,Mechanical,IOC-5,Head pulley drive and nondrive side plummer block broken,260,Speed loss,Plummer block changed both drive and non drive end  of head pulley,Done,,RCA IOC-5 (01-10-25).pdf,Interlock System was unavailable,Down stream interlock for IOC-5 with both RM-4 & RM-4B is added & trial taken ,,8-Oct-25,Done,5-Oct-25,,,,
183,1-Oct-25,BNFC,Mechanical,Filter Press-4,Cake breaker broken,120,Speed loss,Cake breaker plates re welded,Done,,RCA FP-4 (01-10-25).pdf,Cake breaker 's plate condition was poor,welding was done on damage crake braker area,,5-Oct-25,Done,5-Oct-25,,,,
,,,,,,,,,,,,,SS plate should be use instead of MS to reduce the corosion,,5-Oct-25,Done,5-Oct-25,,,,
184,3-Oct-25,BNFC,Mechanical,Feed Pump -2 Motor, Motor Trip agian and again,70,Speed loss,,Not required,,,,,,,,,"Breakdown was resolved within 40 min ,rest 20 min was due to operation delay  (note-No major reason found for trip of motor,On changing belt problem resolved)",,,
185,3-Oct-25,BNFC,Mechanical,Feed Pump-6,Suction line short piece leakage,55,No,Leakage arrested by welding,Done,,RCA FEED PUMP-6 (03-10-25).pdf,Weld was weak,Prope welding was done on joint,,6-Oct-25,Done,5-Oct-25,,,,
186,3-Oct-25,BNFC,Mechanical,Filter Press-2,Drive motor shaft key damage,95,Speed loss,New key fabricated and fitted in shaft,Done,,RCA FP-2 (03-10-25).pdf,Worn out shaft,New fabricated key was fitted in shaft,,8-Oct-25,Done,6-Oct-25,,,,
187,3-Oct-25,BNFC,Process,Derrick 1&3,Line jammed from distribution box to derrick inlate ,95,Speed loss,Open a view point from top side of distribution box,Done,,RCA DERRICK LINE JAMM.pdf,Feed to Derrick-1 valve was closed,Open a view point from top side of distribution box,,6-Oct-25,Done,5-Oct-25,,,,
188,6-Oct-25,BNFC,Process,PBM,"Taking high current, tripped",160,Speed loss,PBM current monitored,Done,,RCA PBM TRIP.pdf,Raw material hardness was High,Continuously monitored PBM current,,12-Oct-25,Done,10-Oct-25,,,,
189,6-Oct-25,BNFC,Mechanical,TBC R/F,Belt wear out,455,Speed loss,,Done,,TFC R RCA.pdf,Material Jam in pulley ,New Belt was fitted,,10-Oct-25,Done,11-Oct-25,,,,
190,5-Oct-25,Pellet-2,Process,C-9,Overload tripped,6,Speed loss,SOP made & follow,Done,6-Oct-25,RCA of C9 belt tripped.pptx,ecause safety interlock or protection circuit got activated.,The Standard Operating Procedure (SOP) prepared for this activity is being strictly followed.,,,Done,,,,,
191,7-Oct-25,BNFC,Mechanical,W.F.-2,Nondrive side bearing damage,193,No,Replaced,Done,,WF 2 RCA.pdf,Tail pulley NDE bearing damage,Bearing was replaced by new one,,12-Oct-25,Done,10-Oct-25,,,,
192,13-Oct-25,BNFC,Mechanical,Filter Press-1,Back blow hose damage with thread,60,Speed loss,Hose change and new nipple welded,Done,,Filter press-1.pdf,,Hose change and new nipple welded,,18-Oct-25,Done,23-Oct-25,,,,
193,18-Oct-25,Pellet-2,Mechanical,ID FAN 1,ID fan 1 abnormal sound observed from drive end,280,Speed loss,DE side bearing and sleeve replaced,Done,,ID FAN 1 RCA.pdf,moc of star lock may be poor,proper insection of star lock during installation,,,Done,,,,,
194,20-Oct-25,BNFC,Mechanical,Filter Press-2,Return core blow valve seal damage,75,Speed loss,Already was in plan,Not required,,,,,,,,,,,,
195,22-Oct-25,BNFC,Mechanical,DD Screen-2,"Upper deck mesh support angle broken, so welding of angle work done",55,Stop,Damaged part removed and welded new plate,Done,,dd screen-2.pdf,Support Angle was rusted,Damaged part removed and welded new plate,,28-Oct-25,Done,25-Oct-25,,,,
196,23-Oct-25,BNFC,Process,DSC & secondary cyclone feed pump,dsc & secondary cyclone feed flow got floctuation ,40,Speed loss,dsc sump flushing done&secondary feedpump suction line leakage arresting,Not required,,,material setteled in dsc sump& Secondary cyclone feed pump suction line punctured., Instuct for dds lower deck mess checking & closely monitor for dsc sump box checking,,,,,,,,
197,22-Oct-25,BNFC,Process,DD Screen-2,Dummy mesh support damage,45,Stop,support repalced,Done,,dd screen-2.pdf,,"the rusted angle was replaced
each 6 month the angle should be change",,25-Oct-25,Done,25-Oct-25,,,,
198,24-Oct-25,Pellet-2,E & I,PCI MCC,PCI MCC incomer ACB breaker tripped,23,Stop,,Done,,RCA For P-2 Power Fluctuation.pdf,Power fluctuation from power plant,"ACB undervoltage settings was reduced to lowest rating that is 80% which was set at 85% asper standard
Also it was planned for control supply in any opportunity",,,Done,,,,,
199,24-Oct-25,BNFC,Mechanical,Filter Press-4,Dewatering valve body damage due to valve bypass,60,Speed loss,Valve changed,Done,,RCA FP-4.pdf,Inner walls of valve was eroded,Damaged valve was replaced by new valve,,28-Oct-25,Done,28-Oct-25,,,,
200,25-Oct-25,BNFC,Mechanical,NFC-1,Belt cut in middle portion,55,No,Belt patching work done,Done,,RCA NFC-1.pdf,Cake breaker stuck in feed chute of NFC-1 resulted in tearing of belt,Cake breaker removed and belt patching was done,,29-Oct-25,Done,25-Oct-25,,,,
201,26-Oct-25,Pellet-1,E & I,U/S roller,U/S roller screen motor replacement,,No,,Not required,,,,,,,,,,,,
202,12-Nov-25,BNFC,Mechanical,DD Screen-2,Oversize material passed into the under size sump box of DD Screen 2,55,Speed loss,Mesh repatched,Done,14-Nov-25,DD SCREEN 2 (12-11-25).pdf,No secondary review was performed after the mesh installation.,Mesh repatched and rubber seal mount in between them to correct the defect and ensure proper sealing.,,,Done,,,There has to be a schedule of inspection and a checklist.  It should be signed by the inspection team as well as the area incharge. Same to be incorporated in the CAPA.,,
203,14-Nov-25,BNFC,Mechanical,IOC 3,IOC- 3 coupling fusible plug damage and hydraulic oil drained,55,Speed loss,"Fusible plug change, oil topup",Done,21-Nov-25,IOC 3 RCA.pdf,Feeder output was not effectively controlled  or monitored so  that the belt conveyed on overloaded to the coupling which could damage the fusible plug and hydraulic oil drain,1- Replaced fusible plug & top up hydraulic oil,,25-Nov-25,Done,21-Nov-25,rca updated,"1.  Reasons  of  overloading  of belt not mentioned in why why analysis. 
2.  As discussed, there is no provisions of  isolating gate between the hopper and the vibrofeeder. A gate to be provided for isolation purpose for maintenance as well as for controlling flow rate if required.
3.  CAPA to indicate installation of  gate with responsibility and deadline.  Further, name of the person responsible for execution to be indicated  not the designation as  it is done.",,
,,,,,,,,,,,,,2-Unstallation of belt weighe to monitor the belt load,,25-Nov-25,Done,21-Nov-25,rca updated,,,
,,,,,,,,,,,,,3-Make continue inspection check list for vibro feeder discharge rate.,,25-Nov-25,Done,21-Nov-25,rca updated,,,
204,19-Nov-25,BNFC,Process,Cyclone -4 ,Cyclone -4 under flow line jam .,210,Speed loss,Clear the under flow line . Remove all the jam material .,Done,20-Nov-25,RCA OF CYCLONE -4.pdf,low grinding and high density .,1- flushing line is to be installed on the under flow connecting line to ensure smooth flow and preventing chocking .,,25-Nov-25,Done,22-Nov-25,,"1.  Provision  of  additional flushing line  during pellet fines grinding is ok but  instructions need to be issued to stop flushing  after pellet fines grinding ceases,  otherwise unnececessarily  extra water shall be added in the circuit and this shall affect the grinding efficiency of ball mills.. CAPA to include the above.",,
,,,,,,,,,,,,,2-Flushing line will operate when any abnormal flow condition.,,25-Nov-25,Done,22-Nov-25,,,,
205,23-Nov-25,BNFC,Mechanical,Cyclone -1,Cyclone 1 over flow valve seal damage,60,Speed loss,Valve knife gate valve DN 150 replaced,Done,25-Nov-25,CYCLONE 1 VALVE 23-11-25.pdf,Quaterly valve seal need to be replace,1-Replace knife gate valve DN 150,,,Done,,,1. System to be developed to include these jobs in the defect list prepared before planned shutdowns. CAPA to include issuance of instruction by the maint head to ensure the above.,,
,,,,,,,,,,,,,2-Proper water flushing of valve seal in every shift,,,Done,,,,,
206,23-Nov-25,Pellet-2,Mechanical,Swing device,Swing device cam shaft disconnected from swing conveyor,170,Stop,Cam shaft re fitting done,Done,23-Nov-25,swing conveyor.pdf,Un-even Jurk may came due to no bottom side support provided by OEM,CA-: Cam shaft refitting done ,Mr. Nitish kumar,23-Nov-25,Done,23-Nov-25,,"1.  Reason for the   shearing of swing arm holding bolt is high clearance in the bearing as visible from the video.REFER VIDEO LINK. Excess brg clearance shall lead to cyclic impact loading on the holding bolt causing shearing due to fatigue.  Same to be mentioned in the WHY WHY ANALYSIS.
2.   Size of holding bolt in place is M16. Strength of bolt which failed is not known. However, only HT bolt to used and possibilities of using next higher size to be considered. 
3.   Holding bolt tightness to be checked in every shutdown.",,
,,,,,,,,,,,,,PA-: Provided extra locking arrangement by welding,,23-Nov-25,Done,23-Nov-25,,,,
208,17-Nov-25,PGP,E & I,PGP-9 hydraulic cyclinder,Not working properly in auto mode,280,No, ,Not required,,,,,,,,,,,,
209,5-Nov-25,PGP,Mechanical,,Damage of the rapture sheet in the TG plant gas pipe line before U-seal,70,Stop,Fitting of gasket on both side of rapture sheet to avoid direct contact with its metal flange,Done,6-Dec-25,RCA Tracker (Pellet division) - PGP Raptue sheet.pdf,Unusual degradation (weakening) of the rapture sheet due to reaction with tar vapour,Change of rapture sheet with a new one & change the same in every plant long shutdown,Mr Anurag Ray & His team,,Done,,,,,
,,,,,,,,,,,,,Protection of the rapture sheet with a Teflon sheet to avoid direct contact with tarry vapour,,,Done,,,,,
,,,,,,,,,,,,,Fitting of gasket on both side of rapture sheet to avoid direct contact with its metal flange,,,Done,,,,,
210,2-Dec-25,PGP,Mechanical,booster fan-4,"Unusual sound from booster fan-4                                                                                                                                               
",,No,Stop booster fan-4 and stand by booster -3 running,Done,3-Dec-25,booster-4,Coupling Misalignment  between motor and fan shaft and loosness of NDE bearing check nut,Coupling alignment carried out to correct misalignment between motor and fan shaft.,Mr Anurag Ray & His team,,Done,,,,,
211,9-Nov-25,BNFC,E & I,DCS,"Dcs communication failure during UPS overhauling by service engineer at Pellet-1,some cables were disturbed as cable dressing was going on for pellet-1 shutdown causing UPS power supply disruption to communication modules & hence communication failure.  ",100,Stop,Back up power supply provided with proper marking of cable used for DCS communication modules.& also informed Service engineer regarding the same & taking clearance form automation enginner at site  before switching on or off of any UPS during over hauling prior ,Done,10-Nov-25,DCS Communication Failure.pdf,Power disruption to communication modules of dcs while UPS over hauling & cable dressing at Pellet-1  ,Back up power supply provided with proper marking of cable used for DCS communication modules.& also informed Service engineer regarding the same & taking clearance from automation enginner at site  before switching on or off of any UPS during over hauling prior ,Mr Siddhartha Mahapatra & Automation team,,Done,,,1. Taking of prior permission in writing is a must by the Service Engineer from E&I area-in-charge.,,
,,,,,,,,,,,,,,,,,,,2. Service engineer must write down the job-schedule step-wise on the permission letter to the satisfaction of E&I area-in-charge..,,
212,12-Nov-25,BNFC,E & I,HGMS Pulsating Motor,HGMS-1 Pulsating motor tripped 2-3 times in high current due to locked rotor condition & tripping didn't reset.,,Speed loss,Physically checked the motor & found its pulley jam & damaged.,Done,14-Nov-25,HGMS Pulsating motor.pdf,As per process needs HGMS was running with High tesla creating magnetic field around motor & due to pulley worn out caused the rotor to lock & damage,"Damaged pulley replacement done,also replaced the motor due to rotor shaft damage.Insulation pad installation to reduce effect of magnetism around motor ",Mr Siddhartha Mahapatra,,Done,,,,,
213,12-Nov-25,BNFC,E & I,HGMS Pulsating Motor,HGMS-1 Pulsating motor replacement due to its shaft broken,60,Speed loss,Spare motor arranged & shifted from pellet-2 motor shed & handed over to mechanical for replacement ,Done,14-Nov-25,HGMS Pulsating motor replacement.pdf,Due to P2 motor shed is bit far from HGMS installed location it took bit long to replace the motor  ,Spare motor made available at beneficiation Motor shed ,Mr Siddhartha Mahapatra,,Done,,,,,
214,24-Nov-25,BNFC,E & I,DSC Cyclone Pump ,Dsc cyclone feed pump trippling in earth fault ,395,Stop,"During running time vfd tripped in earth fault 2-3 times after reset again the fault occured & didn't reset so checked for  motor its IR value,earthing rectification,Auto remote mode was not getting healthy due to IGBT temperature high",Done,26-Nov-25,DSC cyclone FP earth fault.pdf,Checked & found at a place earthing strip was rusted & damaged due to engraved in soil & covered in slurry.Also Auto remote mode was not getting switched due to IGBT card faulty. ,Damaged earthing strip was replaced by welding new earthing strip & other engraved earthing strips indentified & cleaned.IGBT card upgradation from MK-1 to MK-2 along with its software.,Mr Siddhartha Mahapatra,,Done,,,"1. There must not be a weld in earthing strip where slurry or other materials may fall. 
2. It means, the defective portion of earthing strip must be replaced by a longer one of the same specification with the welds at both ends lying at a safer place. The welds must be thicker and on all four sides. Weld must be galvanised and the replaced strip should bear same color as of the rest of  the earthing strip.",,
215,16-Nov-25,BNFC,Process,Clarifier ,Pressure drop due to river water not coming,50,Stop,Manage with water tanker,Not required,,,,,,,,,,,,
216,16-Nov-25,BNFC,Process,HT ball mill ,During TG fines feeding take over size material in feed caused feed chute jam,135,Stop,Clear the jam,Not required,,,,,,,,,,,,
217,22-Nov-25,BNFC,Process,DSC pump,pump flow fluctuation due to pellet fines feeding,60,Speed loss,Stop the pellet fines feeding ,Not required,,,,,,,,,,,,
207,2-Dec-25,BNFC,Process,Derrick 2 feed line(Secondary sump box),Secondary sump box filled with material causing Derrick 2 feed pump suction line choked ,410,Stop,Cleared the sump box as well as suction line,Done,3-Dec-25,"SBM trip,Derrick-2 Jamm.pdf","Due to SBM tripped,the discharge flow was interrupted resulting material build up inside the mill",1-Cleared the sump box as well as suction line,Debasish Jena,,Done,,,,,
,,,,,,,,,,,,,"2-Pop-up alarm to be given dcs so that Whenever LP Pressure drops,it will show.",Sidharth Mohapatra,,Done,,,,,
,,,,,,,,,,,,,3-Ball Mill will run in Auxiliary mode for Minimum 20 Min. with max.flush water. Ball mill Discharge density& Sump Box level to be monitored during flushing.,Process Shift-in Charge,,Done,,,,,
218,29-Nov-25,Pellet-2,Mechanical,TG hollow shaft,Hollow shaft leakage,,Stop,Hollow shaft new design as single piece shaft and by the help of newly installed softner and gravel filter input water of the hollow shaft is mataining less that 25 PPM,Done,,RCA hollow shaft.pdf,,Hollow shaft new design as single piece shaft and by the help of newly installed softner and gravel filter input water of the hollow shaft is mataining less that 25 PPM,,,Done,,,Detailed RCA being done by the RCA team.,,
219,1-Nov-25,Pellet-2,Process,FC-6,Overload tripped,85,No,Material cleaning,Not required,,,,,,,,,,,,
220,10-Dec-25,BNFC,E & I,HT ball mill ,Starting Delay,130,Stop,DI Module & Contactor Replaced & Mill Started,Done,,RCA Link,Due to slurry pipe line leakage & slurry entered with heavy flow caused DI feedback channel short circuited & malfunctioned.,Feed end lubrication system panel sealed properly with canopy provided.,Mr Siddharth Mahapatra,,Done,,,"CAPA  to include the following:
1.  Electrical panel to be barricaded .
2.  Improve panel sealing.
3.  Slurry pipeline support to be strengthen to reduce jerk acting on the flange joints during start and stop of pump.
4.  Location of the flange joint in the slurry pipeline to be  shifted away from the electrical  panel.",,
221,13-Dec-25,BNFC,E & I,HT ball mill ,Tripping Due to High Starting Current,230,Stop,"Checked motor end as per checklist,trial taken in de-coupled mode & found electrical side ok  with running water circuit & flushing mill started",Done,,RCA Link,HT ball mill tripped due to experiencing high starting current as mill was earlier stopped due to thickener reddish  ,With prolonged flushing of mill in inching reduced high starting current.,Siddhartha Mahapatra,,Done,,,"CAPA  to include the following.
1.  SOP to be developed for shutting down and starting  of  ball mills..
2.  Operators to be trained.",,
222,11-Dec-25,BNFC,E & I,PBM,Tripping Due to High Starting Current,95,Stop,"Checked motor end as per checklist,with inching for more than 45 minutes with flushing & started",Done,,RCA Link,PBM tripped in to high starting current due to material settled-compacted & adhered to mill shell as mill was in stopped for longer duration for opportunity shutdown.,With inch run for more than 45mins & increased water flow of flushing water mill started,Siddhartha Mahapatra,,Done,,,"CAPA  to include the following.
1.  SOP to be developed for shutting down and starting  of  ball mills..
2.  Operators to be trained.",,
32,11-Dec-25,Pellet-2,Mechanical,TG,TG through shaft damage,110,Stop,Shaft No 231 & 315 Re-placement is done,Done,,RCA TG THROUGH SHAFT.pdf,TG SHAFT GOT BEND.,Shaft No 231 & 315 Re-placement is done,,,Done,,,Failed material to be tested and compared with original drawing.,,
223,13-Dec-25,Pellet-2,Process,Cooler,Cooler discharge jam,310,Stop,,Done,,Root Cause Analysis of Cooler Discharge Jam,Due to accretion coating pieces,Ensuring kiln and cooler discharge areas are clear.,Mr. Raghu,,Done,,,"Analysis is ok.  Accretion formation in kiln can not be avoided fully. Accretion handling in the kiln discharge and the cooler is labour intensive and hence to avoid delay, the  operation group need to be vigilant and mobilize   resources on proactive basis.  ",,
,,,,,,,,,,,,,Training operators on the early signs of cooler discharge jam.,,,Done,,,,,
,,,,,,,,,,,,,Monitoring and clearing accretion in the discharge area  regularly.,,,Done,,,,,
224,12-Dec-25,Pellet-2,Process,Kiln,Kiln discharge jam,300,Stop,,Done,,Root Cause Analysis of Kiln Discharge Jam,Due to accretion coating pieces,Ensuring kiln and cooler discharge areas are clear.,"Mr. Raghu
",,Done,,,"Analysis is ok.  Accretion formation in kiln can not be avoided fully. Accretion handling in the kiln discharge and the cooler is labour intensive and hence to avoid delay, the  operation group need to be vigilant and mobilize   resources on proactive basis.  ",,
,,,,,,,,,,,,,Training operators on the early signs of kiln discharge jam.,,,Done,,,,,
,,,,,,,,,,,,,Monitoring and clearing accretion in the discharge area  regularly.,,,Done,,,,,
,,,,,,,,,,,,,Planned shut down has to be taken to clear the accretion and material built-up for a smooth plant operation.,,,Done,,,,,
225,13-Dec-25,BNFC,Process,Thickener Reddish ,Thickener overflow apperas reddish .due to material settling rate low.,180,Speed loss,Stop feeding and increase flucculant dosing  .,Done,,Thickener Reddish.pdf,Low grade material (Ld sludge contaminate with iron fines.,1-Proper dosing as well as decrease the feed rate .,,13-Dec-25,Done,14-Dec-25,,Flocculant dozing rate to be monitored properly.,,
,,,,,,,,,,,,,2-Check grinding as well as cyclone apex and screen u/s.,,13-Dec-25,Done,14-Dec-25,,,,
226,23-Dec-25,BNFC,Mechanical,FEED PUMP,Sudden feed pump start and leakage issue while working time at feed line,,No,Engage the emergency switch to stop the feed pump,Done,23-Dec-25,RCA FEED PUMP.pdf,Not taken electrical isolation and not act any emergency switch of feed pump.,"Took Electrical isolation, Engage the emergency switch",,,Done,,,"violation of  safety protocol, to be avoided at any cost.",,
227,31-Dec-25,Pellet-1,Mechanical,TG Chain through shaft,TG chain one through shaft broken,140,Stop,One through shaft & 4 nos bush replacement done,Done,3-Jan-26,RCA-TG Through Shaft,Manufacturing defect of the through shaft,CA: One through shaft & 4 nos bush replacement done,Mr. S. K. Muduli,31-Dec-25,Done,31-Dec-25,,Failed material to be tested and compared with the  drawing.,,
,,,,,,,,,,,,,PA: 1. Test certificate to be provided by the vendor.,,31-Dec-25,Done,31-Dec-25,,,,
,,,,,,,,,,,,,2. Thorough inspection during GRN.,,31-Dec-25,Done,31-Dec-25,,,,
228,22-Dec-25,PGP,Mechanical,CBC-4,CONVEYOR BELT DAMAGED,510,No,New belt replaced,Done,3-Feb-26,CBC-4 belt damage PGP.pdf,Rubber belt scrapper was worn out.,"1. PM schedule to be made for replacing the rubber belt scrapper and checking tightness of bolts.
2. Job lists to be finalised for checking preventive maintenace.",Mr Anurag Ray,15-Feb-26,Done,,,,,
229,31-Dec-25,BNFC,Process,THICKENER ,Rake trip and not moving.,"3,085",Stop,Feed stoped and remove forgien material from arm .,Done,7-Jan-26,NEW THICKNESS RAKE TRIP AND NOT MOVING.pdf,Forgien material found (net ) entered the thickener causing slurry accumulation at thickener corner .,1- Remove net from thickener  .,"Kausal Kishor Singh 
& Debasis Jena ",3-Jan-26,Done,3-Jan-26,,,,
,,,,,,,,,,,,,"2-Check rake drive ,gear box and torque setting .",,3-Jan-26,Done,3-Jan-26,,,,
,,,,,,,,,,,,,3- Conduct operator training on early warning sign of high torque .,,3-Jan-26,Done,3-Jan-26,,,,
230,31-Dec-25,Pellet-1,E & I,TG MD-1,Motor NDE Bearing Damage,95,Speed loss,Motor replaced,Done,7-Jan-26,RCA Link,,,,,,,,,Yes,10-Feb-26
231,13-Dec-25,Pellet-2,Mechanical,NPC-2,Accrection stucked in tail pulley,160,Stop,accrection piece removed and damaged block replacement done,Done,15-Dec-25,NPC-2 TAIL PULLEY PLUMMER BLOCK BROCKED.pdf,due to accretion stucked in tail pulley, Damage plummer blocked replaced,Mr. Nitish kumar,,Done,,,,,
,,,,,,,,,,,,,  3 nos damage carrying idler replaced,,,Done,,,,,
232,25-Dec-25,Pellet-1,Mechanical,ESP,Pipe line leakage,217,No,Welding done,Not required,,,,,,,,,,,,
233,12-Dec-25,Pellet-2,Process,NPC-1,NPC-1 was overload tripped due to accretion came,60,Stop,accrection piece removed,Not required,,,,,,,,,,,,
234,28-Dec-25,Pellet-2,Mechanical,Proportionate,Lime conveying leakage .,125,No,,Not required,,,,,,,,,,,,
235,30-Dec-25,Pellet-2,Mechanical,FK pump,Stopped due to air line tapping .,162,No,,Not required,,,,,,,,,,,,
236,30-Dec-25,Pellet-2,Mechanical,LIW-3,Mixer stopped due to LIW skirt rubber changing,65,No,,Not required,,,,,,,,,,,,
237,19-Dec-25,BNFC,Mechanical,Compressor-5,Compressor-5 discharge line air leakage.,80,Stop,Rubber gasket replaced with metallic gasket.,Done,20-Dec-25,RCA BNF Compressor-5 19-12-2025.pdf,Incorrect gasket used in the compressed air line.,1. Rubber gasket to be replaced with 3mm metallic gasket (Style 20).,Jay Prakash,20-Dec-25,Done,19-Dec-25,,ok,,
,,,,,,,,,,,,,2. checking on regular interval to be done to avoid such breakdowns in future.,Jay Prakash,20-Dec-25,Done,19-Dec-25,,,,
238,28-Dec-25,PGP,Process,ETP,Tripping of ETP showing DC under voltage,"10,800",No,The defective electrode was removed,Done,30-Dec-25,RCA_PGP_ETP - Google Sheets.pdf,Touching of electrode with the body due to the gradual thinning of the electrode & detached,ca: the defective electrode was removed,,,Done,,,,,
,,,,,,,,,,,,,pa: etp field to be checked during the long shutdown of the pellet plant,,,,,,,,
239,6-Jan-26,Pellet-1,Process,Kiln,Discharge hopper jam,,Stop,Accretaion pieces came,Not required,,,,,,,,,,,,
